i,t,a,x,rc
2,23,0,5,46.5
2,24,0,6,52
2,25,0,7,50
2,26,0,7,48
2,27,1,7,54
2,28,0,1,56
2,29,0,2,51.5
2,30,0,3,44.5
2,31,0,4,41.5
2,32,1,5,54
2,33,0,1,50.5
2,34,0,2,46
2,35,0,3,46
2,36,1,4,38
2,37,0,1,39
2,38,0,2,39
2,39,0,3,35
2,40,0,4,36.5
2,41,1,5,39.5
2,42,0,1,46.5
2,43,0,2,47.5
2,44,0,3,47.5
2,45,0,4,52.5
2,46,1,5,50
2,47,0,1,48
2,48,0,2,50.5
2,49,0,3,52
2,50,0,4,46.5
2,51,1,5,47.5
2,52,0,1,40
2,53,0,2,43
2,54,0,3,47
2,55,0,4,44
2,56,1,5,49
2,57,0,1,57.5
2,58,0,2,51.5
2,59,0,3,46.5
2,60,0,4,50
2,61,1,5,44
2,62,0,1,53
2,63,0,2,50.5
2,64,0,3,48
2,65,0,4,51
2,66,0,5,50.5
2,67,1,6,51
2,68,0,1,62.5
2,69,0,2,58
2,70,0,3,62
2,71,0,4,53
2,72,0,5,52.5
2,73,0,6,55.5
2,74,1,7,48
2,75,0,1,45.5
2,76,0,2,45
2,77,0,3,50
2,78,0,4,47
2,79,0,5,50
2,80,0,6,41.5
2,81,0,7,50
2,82,1,7,43.5
2,83,0,1,36.5
2,84,0,2,46.5
2,85,0,3,49.5
2,86,0,4,50
2,87,1,5,47.5
2,88,0,1,43
2,89,0,2,48.5
2,90,0,3,52
2,91,0,4,58.5
2,92,0,5,54.5
2,93,0,6,54
2,94,0,7,47
2,95,0,7,45.5
2,96,1,7,42.5
2,97,0,1,50.5
2,98,0,2,43.5
2,99,0,3,44.5
2,100,0,4,46
3,1,0,3,45
3,2,0,4,49
3,3,0,5,54
3,4,0,6,47
3,5,0,7,56
3,6,0,7,52.5
3,7,0,7,55
3,8,1,7,50.5
3,9,0,1,52
3,10,0,2,42
3,11,0,3,31.5
3,12,0,4,39.5
3,13,0,5,40.5
3,14,0,6,39.5
3,15,0,7,42
3,16,0,7,41.5
3,17,0,7,40
3,18,0,7,35
3,19,1,7,40
3,20,0,1,44
3,21,0,2,45
3,22,0,3,50.5
3,23,0,4,46.5
3,24,0,5,52
3,25,0,6,50
3,26,0,7,48
3,27,0,7,54
3,28,1,7,56
3,29,0,1,51.5
3,30,0,2,44.5
3,31,0,3,41.5
3,32,0,4,54
3,33,0,5,50.5
3,34,1,6,46
3,35,0,1,46
3,36,0,2,38
3,37,0,3,39
3,38,0,4,39
3,39,0,5,35
3,40,1,6,36.5
3,41,0,1,39.5
3,42,0,2,46.5
3,43,1,3,47.5
3,44,0,1,47.5
3,45,0,2,52.5
3,46,0,3,50
3,47,0,4,48
3,48,0,5,50.5
3,49,0,6,52
3,50,0,7,46.5
3,51,1,7,47.5
3,52,0,1,40
3,53,0,2,43
3,54,0,3,47
3,55,0,4,44
3,56,1,5,49
3,57,0,1,57.5
3,58,0,2,51.5
3,59,0,3,46.5
3,60,1,4,50
3,61,0,1,44
3,62,0,2,53
3,63,0,3,50.5
3,64,0,4,48
3,65,1,5,51
3,66,0,1,50.5
3,67,0,2,51
3,68,0,3,62.5
3,69,1,4,58
3,70,0,1,62
3,71,0,2,53
3,72,0,3,52.5
3,73,0,4,55.5
3,74,0,5,48
3,75,1,6,45.5
3,76,0,1,45
3,77,0,2,50
3,78,0,3,47
3,79,0,4,50
3,80,0,5,41.5
3,81,0,6,50
3,82,0,7,43.5
3,83,1,7,36.5
3,84,0,1,46.5
3,85,0,2,49.5
3,86,0,3,50
3,87,0,4,47.5
3,88,1,5,43
3,89,0,1,48.5
3,90,0,2,52
3,91,0,3,58.5
3,92,0,4,54.5
3,93,1,5,54
3,94,0,1,47
3,95,0,2,45.5
3,96,0,3,42.5
3,97,0,4,50.5
3,98,0,5,43.5
3,99,0,6,44.5
3,100,1,7,46
4,1,1,3,45
4,2,0,1,49
4,3,0,2,54
4,4,0,3,47
4,5,0,4,56
4,6,0,5,52.5
4,7,0,6,55
4,8,0,7,50.5
4,9,0,7,52
4,10,1,7,42
4,11,0,1,31.5
4,12,0,2,39.5
4,13,0,3,40.5
4,14,0,4,39.5
4,15,1,5,42
4,16,0,1,41.5
4,17,0,2,40
4,18,0,3,35
4,19,0,4,40
4,20,1,5,44
4,21,0,1,45
4,22,0,2,50.5
4,23,0,3,46.5
4,24,0,4,52
4,25,0,5,50
4,26,0,6,48
4,27,1,7,54
4,28,0,1,56
4,29,0,2,51.5
4,30,0,3,44.5
4,31,1,4,41.5
4,32,0,1,54
4,33,0,2,50.5
4,34,0,3,46
4,35,0,4,46
4,36,1,5,38
4,37,0,1,39
4,38,0,2,39
4,39,1,3,35
4,40,0,1,36.5
4,41,0,2,39.5
4,42,0,3,46.5
4,43,0,4,47.5
4,44,0,5,47.5
4,45,0,6,52.5
4,46,0,7,50
4,47,1,7,48
4,48,0,1,50.5
4,49,0,2,52
4,50,0,3,46.5
4,51,0,4,47.5
4,52,1,5,40
4,53,0,1,43
4,54,0,2,47
4,55,0,3,44
4,56,0,4,49
4,57,0,5,57.5
4,58,0,6,51.5
4,59,1,7,46.5
4,60,0,1,50
4,61,0,2,44
4,62,0,3,53
4,63,0,4,50.5
4,64,0,5,48
4,65,0,6,51
4,66,0,7,50.5
4,67,1,7,51
4,68,0,1,62.5
4,69,0,2,58
4,70,0,3,62
4,71,1,4,53
4,72,0,1,52.5
4,73,0,2,55.5
4,74,0,3,48
4,75,0,4,45.5
4,76,0,5,45
4,77,0,6,50
4,78,1,7,47
4,79,0,1,50
4,80,0,2,41.5
4,81,0,3,50
4,82,0,4,43.5
4,83,1,5,36.5
4,84,0,1,46.5
4,85,0,2,49.5
4,86,0,3,50
4,87,0,4,47.5
4,88,1,5,43
4,89,0,1,48.5
4,90,0,2,52
4,91,0,3,58.5
4,92,0,4,54.5
4,93,0,5,54
4,94,0,6,47
4,95,0,7,45.5
4,96,0,7,42.5
4,97,0,7,50.5
4,98,0,7,43.5
4,99,1,7,44.5
4,100,0,1,46
5,1,0,2,45
5,2,0,3,49
5,3,0,4,54
5,4,0,5,47
5,5,0,6,56
5,6,1,7,52.5
5,7,0,1,55
5,8,0,2,50.5
5,9,0,3,52
5,10,0,4,42
5,11,1,5,31.5
5,12,0,1,39.5
5,13,0,2,40.5
5,14,0,3,39.5
5,15,0,4,42
5,16,0,5,41.5
5,17,1,6,40
5,18,0,1,35
5,19,0,2,40
5,20,0,3,44
5,21,0,4,45
5,22,0,5,50.5
5,23,0,6,46.5
5,24,1,7,52
5,25,0,1,50
5,26,0,2,48
5,27,0,3,54
5,28,0,4,56
5,29,0,5,51.5
5,30,0,6,44.5
5,31,1,7,41.5
5,32,0,1,54
5,33,0,2,50.5
5,34,0,3,46
5,35,0,4,46
5,36,0,5,38
5,37,1,6,39
5,38,0,1,39
5,39,0,2,35
5,40,0,3,36.5
5,41,0,4,39.5
5,42,1,5,46.5
5,43,0,1,47.5
5,44,0,2,47.5
5,45,0,3,52.5
5,46,0,4,50
5,47,1,5,48
5,48,0,1,50.5
5,49,0,2,52
5,50,0,3,46.5
5,51,0,4,47.5
5,52,0,5,40
5,53,0,6,43
5,54,1,7,47
5,55,0,1,44
5,56,0,2,49
5,57,0,3,57.5
5,58,0,4,51.5
5,59,1,5,46.5
5,60,0,1,50
5,61,0,2,44
5,62,0,3,53
5,63,0,4,50.5
5,64,1,5,48
5,65,0,1,51
5,66,0,2,50.5
5,67,0,3,51
5,68,0,4,62.5
5,69,0,5,58
5,70,0,6,62
5,71,1,7,53
5,72,0,1,52.5
5,73,0,2,55.5
5,74,0,3,48
5,75,0,4,45.5
5,76,0,5,45
5,77,1,6,50
5,78,0,1,47
5,79,0,2,50
5,80,0,3,41.5
5,81,0,4,50
5,82,1,5,43.5
5,83,0,1,36.5
5,84,0,2,46.5
5,85,0,3,49.5
5,86,1,4,50
5,87,0,1,47.5
5,88,0,2,43
5,89,0,3,48.5
5,90,0,4,52
5,91,0,5,58.5
5,92,0,6,54.5
5,93,1,7,54
5,94,0,1,47
5,95,0,2,45.5
5,96,0,3,42.5
5,97,1,4,50.5
5,98,0,1,43.5
5,99,0,2,44.5
5,100,1,3,46
6,1,0,1,45
6,2,0,2,49
6,3,0,3,54
6,4,0,4,47
6,5,1,5,56
6,6,0,1,52.5
6,7,0,2,55
6,8,0,3,50.5
6,9,0,4,52
6,10,0,5,42
6,11,1,6,31.5
6,12,0,1,39.5
6,13,0,2,40.5
6,14,0,3,39.5
6,15,0,4,42
6,16,1,5,41.5
6,17,0,1,40
6,18,0,2,35
6,19,0,3,40
6,20,1,4,44
6,21,0,1,45
6,22,0,2,50.5
6,23,1,3,46.5
6,24,0,1,52
6,25,0,2,50
6,26,0,3,48
6,27,0,4,54
6,28,0,5,56
6,29,0,6,51.5
6,30,1,7,44.5
6,31,0,1,41.5
6,32,0,2,54
6,33,0,3,50.5
6,34,0,4,46
6,35,0,5,46
6,36,0,6,38
6,37,1,7,39
6,38,0,1,39
6,39,0,2,35
6,40,0,3,36.5
6,41,1,4,39.5
6,42,0,1,46.5
6,43,0,2,47.5
6,44,0,3,47.5
6,45,0,4,52.5
6,46,1,5,50
6,47,0,1,48
6,48,0,2,50.5
6,49,1,3,52
6,50,0,1,46.5
6,51,0,2,47.5
6,52,0,3,40
6,53,0,4,43
6,54,0,5,47
6,55,1,6,44
6,56,0,1,49
6,57,0,2,57.5
6,58,0,3,51.5
6,59,0,4,46.5
6,60,1,5,50
6,61,0,1,44
6,62,0,2,53
6,63,0,3,50.5
6,64,0,4,48
6,65,0,5,51
6,66,0,6,50.5
6,67,1,7,51
6,68,0,1,62.5
6,69,0,2,58
6,70,0,3,62
6,71,0,4,53
6,72,1,5,52.5
6,73,0,1,55.5
6,74,0,2,48
6,75,0,3,45.5
6,76,0,4,45
6,77,0,5,50
6,78,0,6,47
6,79,1,7,50
6,80,0,1,41.5
6,81,0,2,50
6,82,0,3,43.5
6,83,0,4,36.5
6,84,0,5,46.5
6,85,1,6,49.5
6,86,0,1,50
6,87,0,2,47.5
6,88,1,3,43
6,89,0,1,48.5
6,90,0,2,52
6,91,0,3,58.5
6,92,0,4,54.5
6,93,0,5,54
6,94,1,6,47
6,95,0,1,45.5
6,96,0,2,42.5
6,97,0,3,50.5
6,98,0,4,43.5
6,99,0,5,44.5
6,100,1,6,46
7,1,0,7,45
7,2,1,7,49
7,3,0,1,54
7,4,0,2,47
7,5,0,3,56
7,6,0,4,52.5
7,7,0,5,55
7,8,0,6,50.5
7,9,0,7,52
7,10,1,7,42
7,11,0,1,31.5
7,12,1,2,39.5
7,13,0,1,40.5
7,14,0,2,39.5
7,15,0,3,42
7,16,0,4,41.5
7,17,1,5,40
7,18,0,1,35
7,19,0,2,40
7,20,0,3,44
7,21,0,4,45
7,22,0,5,50.5
7,23,1,6,46.5
7,24,0,1,52
7,25,0,2,50
7,26,0,3,48
7,27,0,4,54
7,28,0,5,56
7,29,0,6,51.5
7,30,0,7,44.5
7,31,1,7,41.5
7,32,0,1,54
7,33,0,2,50.5
7,34,0,3,46
7,35,0,4,46
7,36,0,5,38
7,37,1,6,39
7,38,0,1,39
7,39,0,2,35
7,40,0,3,36.5
7,41,0,4,39.5
7,42,1,5,46.5
7,43,0,1,47.5
7,44,0,2,47.5
7,45,0,3,52.5
7,46,0,4,50
7,47,0,5,48
7,48,1,6,50.5
7,49,0,1,52
7,50,0,2,46.5
7,51,0,3,47.5
7,52,0,4,40
7,53,1,5,43
7,54,0,1,47
7,55,0,2,44
7,56,0,3,49
7,57,0,4,57.5
7,58,1,5,51.5
7,59,0,1,46.5
7,60,0,2,50
7,61,1,3,44
7,62,0,1,53
7,63,0,2,50.5
7,64,0,3,48
7,65,0,4,51
7,66,0,5,50.5
7,67,0,6,51
7,68,0,7,62.5
7,69,0,7,58
7,70,0,7,62
7,71,0,7,53
7,72,1,7,52.5
7,73,0,1,55.5
7,74,0,2,48
7,75,0,3,45.5
7,76,0,4,45
7,77,0,5,50
7,78,1,6,47
7,79,0,1,50
7,80,0,2,41.5
7,81,0,3,50
7,82,1,4,43.5
7,83,0,1,36.5
7,84,0,2,46.5
7,85,0,3,49.5
7,86,0,4,50
7,87,1,5,47.5
7,88,0,1,43
7,89,0,2,48.5
7,90,0,3,52
7,91,0,4,58.5
7,92,0,5,54.5
7,93,0,6,54
7,94,1,7,47
7,95,0,1,45.5
7,96,0,2,42.5
7,97,0,3,50.5
7,98,0,4,43.5
7,99,0,5,44.5
7,100,1,6,46
8,1,1,4,45
8,2,0,1,49
8,3,0,2,54
8,4,0,3,47
8,5,0,4,56
8,6,0,5,52.5
8,7,0,6,55
8,8,0,7,50.5
8,9,0,7,52
8,10,1,7,42
8,11,0,1,31.5
8,12,0,2,39.5
8,13,0,3,40.5
8,14,1,4,39.5
8,15,0,1,42
8,16,0,2,41.5
8,17,0,3,40
8,18,0,4,35
8,19,1,5,40
8,20,0,1,44
8,21,0,2,45
8,22,0,3,50.5
8,23,0,4,46.5
8,24,0,5,52
8,25,0,6,50
8,26,0,7,48
8,27,0,7,54
8,28,0,7,56
8,29,1,7,51.5
8,30,0,1,44.5
8,31,0,2,41.5
8,32,0,3,54
8,33,0,4,50.5
8,34,0,5,46
8,35,1,6,46
8,36,0,1,38
8,37,0,2,39
8,38,0,3,39
8,39,1,4,35
8,40,0,1,36.5
8,41,0,2,39.5
8,42,0,3,46.5
8,43,0,4,47.5
8,44,0,5,47.5
8,45,1,6,52.5
8,46,0,1,50
8,47,0,2,48
8,48,0,3,50.5
8,49,0,4,52
8,50,0,5,46.5
8,51,0,6,47.5
8,52,0,7,40
8,53,0,7,43
8,54,1,7,47
8,55,0,1,44
8,56,0,2,49
8,57,0,3,57.5
8,58,0,4,51.5
8,59,0,5,46.5
8,60,0,6,50
8,61,1,7,44
8,62,0,1,53
8,63,0,2,50.5
8,64,0,3,48
8,65,0,4,51
8,66,0,5,50.5
8,67,0,6,51
8,68,0,7,62.5
8,69,1,7,58
8,70,0,1,62
8,71,0,2,53
8,72,0,3,52.5
8,73,0,4,55.5
8,74,0,5,48
8,75,0,6,45.5
8,76,1,7,45
8,77,0,1,50
8,78,0,2,47
8,79,0,3,50
8,80,0,4,41.5
8,81,0,5,50
8,82,0,6,43.5
8,83,0,7,36.5
8,84,1,7,46.5
8,85,0,1,49.5
8,86,0,2,50
8,87,0,3,47.5
8,88,0,4,43
8,89,1,5,48.5
8,90,0,1,52
8,91,0,2,58.5
8,92,0,3,54.5
8,93,0,4,54
8,94,0,5,47
8,95,1,6,45.5
8,96,0,1,42.5
8,97,0,2,50.5
8,98,0,3,43.5
8,99,1,4,44.5
8,100,0,1,46
9,1,0,3,45
9,2,0,4,49
9,3,0,5,54
9,4,0,6,47
9,5,1,7,56
9,6,0,1,52.5
9,7,0,2,55
9,8,0,3,50.5
9,9,0,4,52
9,10,0,5,42
9,11,0,6,31.5
9,12,0,7,39.5
9,13,1,7,40.5
9,14,0,1,39.5
9,15,0,2,42
9,16,0,3,41.5
9,17,0,4,40
9,18,1,5,35
9,19,0,1,40
9,20,0,2,44
9,21,0,3,45
9,22,0,4,50.5
9,23,0,5,46.5
9,24,1,6,52
9,25,0,1,50
9,26,0,2,48
9,27,0,3,54
9,28,0,4,56
9,29,0,5,51.5
9,30,1,6,44.5
9,31,0,1,41.5
9,32,0,2,54
9,33,0,3,50.5
9,34,0,4,46
9,35,0,5,46
9,36,1,6,38
9,37,0,1,39
9,38,0,2,39
9,39,1,3,35
9,40,0,1,36.5
9,41,0,2,39.5
9,42,0,3,46.5
9,43,0,4,47.5
9,44,1,5,47.5
9,45,0,1,52.5
9,46,0,2,50
9,47,0,3,48
9,48,1,4,50.5
9,49,0,1,52
9,50,0,2,46.5
9,51,0,3,47.5
9,52,0,4,40
9,53,0,5,43
9,54,1,6,47
9,55,0,1,44
9,56,0,2,49
9,57,0,3,57.5
9,58,0,4,51.5
9,59,0,5,46.5
9,60,0,6,50
9,61,1,7,44
9,62,0,1,53
9,63,0,2,50.5
9,64,0,3,48
9,65,1,4,51
9,66,0,1,50.5
9,67,0,2,51
9,68,0,3,62.5
9,69,1,4,58
9,70,0,1,62
9,71,0,2,53
9,72,0,3,52.5
9,73,0,4,55.5
9,74,0,5,48
9,75,0,6,45.5
9,76,1,7,45
9,77,0,1,50
9,78,0,2,47
9,79,0,3,50
9,80,1,4,41.5
9,81,0,1,50
9,82,0,2,43.5
9,83,0,3,36.5
9,84,0,4,46.5
9,85,0,5,49.5
9,86,0,6,50
9,87,0,7,47.5
9,88,1,7,43
9,89,0,1,48.5
9,90,0,2,52
9,91,0,3,58.5
9,92,0,4,54.5
9,93,1,5,54
9,94,0,1,47
9,95,0,2,45.5
9,96,0,3,42.5
9,97,0,4,50.5
9,98,1,5,43.5
9,99,0,1,44.5
9,100,0,2,46
10,1,0,2,45
10,2,0,3,49
10,3,0,4,54
10,4,0,5,47
10,5,1,6,56
10,6,0,1,52.5
10,7,0,2,55
10,8,1,3,50.5
10,9,0,1,52
10,10,0,2,42
10,11,1,3,31.5
10,12,0,1,39.5
10,13,0,2,40.5
10,14,1,3,39.5
10,15,0,1,42
10,16,0,2,41.5
10,17,0,3,40
10,18,1,4,35
10,19,0,1,40
10,20,0,2,44
10,21,0,3,45
10,22,0,4,50.5
10,23,0,5,46.5
10,24,1,6,52
10,25,0,1,50
10,26,0,2,48
10,27,0,3,54
10,28,0,4,56
10,29,1,5,51.5
10,30,0,1,44.5
10,31,0,2,41.5
10,32,1,3,54
10,33,0,1,50.5
10,34,0,2,46
10,35,0,3,46
10,36,0,4,38
10,37,1,5,39
10,38,0,1,39
10,39,0,2,35
10,40,0,3,36.5
10,41,0,4,39.5
10,42,0,5,46.5
10,43,1,6,47.5
10,44,0,1,47.5
10,45,0,2,52.5
10,46,0,3,50
10,47,1,4,48
10,48,0,1,50.5
10,49,0,2,52
10,50,0,3,46.5
10,51,1,4,47.5
10,52,1,1,40
10,53,0,1,43
10,54,0,2,47
10,55,0,3,44
10,56,1,4,49
10,57,0,1,57.5
10,58,0,2,51.5
10,59,0,3,46.5
10,60,0,4,50
10,61,0,5,44
10,62,0,6,53
10,63,0,7,50.5
10,64,0,7,48
10,65,0,7,51
10,66,0,7,50.5
10,67,0,7,51
10,68,1,7,62.5
10,69,0,1,58
10,70,0,2,62
10,71,0,3,53
10,72,0,4,52.5
10,73,0,5,55.5
10,74,0,6,48
10,75,0,7,45.5
10,76,0,7,45
10,77,1,7,50
10,78,0,1,47
10,79,0,2,50
10,80,0,3,41.5
10,81,0,4,50
10,82,0,5,43.5
10,83,1,6,36.5
10,84,0,1,46.5
10,85,0,2,49.5
10,86,0,3,50
10,87,0,4,47.5
10,88,0,5,43
10,89,1,6,48.5
10,90,0,1,52
10,91,0,2,58.5
10,92,0,3,54.5
10,93,1,4,54
10,94,0,1,47
10,95,0,2,45.5
10,96,0,3,42.5
10,97,0,4,50.5
10,98,0,5,43.5
10,99,0,6,44.5
10,100,0,7,46
11,1,0,3,45
11,2,0,4,49
11,3,0,5,54
11,4,1,6,47
11,5,0,1,56
11,6,0,2,52.5
11,7,0,3,55
11,8,0,4,50.5
11,9,0,5,52
11,10,1,6,42
11,11,0,1,31.5
11,12,0,2,39.5
11,13,0,3,40.5
11,14,0,4,39.5
11,15,1,5,42
11,16,0,1,41.5
11,17,0,2,40
11,18,0,3,35
11,19,0,4,40
11,20,1,5,44
11,21,0,1,45
11,22,0,2,50.5
11,23,0,3,46.5
11,24,0,4,52
11,25,0,5,50
11,26,0,6,48
11,27,1,7,54
11,28,0,1,56
11,29,0,2,51.5
11,30,0,3,44.5
11,31,1,4,41.5
11,32,0,1,54
11,33,0,2,50.5
11,34,0,3,46
11,35,0,4,46
11,36,1,5,38
11,37,0,1,39
11,38,0,2,39
11,39,0,3,35
11,40,1,4,36.5
11,41,0,1,39.5
11,42,0,2,46.5
11,43,0,3,47.5
11,44,0,4,47.5
11,45,0,5,52.5
11,46,0,6,50
11,47,0,7,48
11,48,0,7,50.5
11,49,0,7,52
11,50,1,7,46.5
11,51,0,1,47.5
11,52,0,2,40
11,53,0,3,43
11,54,0,4,47
11,55,0,5,44
11,56,0,6,49
11,57,0,7,57.5
11,58,1,7,51.5
11,59,0,1,46.5
11,60,0,2,50
11,61,0,3,44
11,62,0,4,53
11,63,1,5,50.5
11,64,0,1,48
11,65,0,2,51
11,66,0,3,50.5
11,67,0,4,51
11,68,0,5,62.5
11,69,1,6,58
11,70,0,1,62
11,71,0,2,53
11,72,0,3,52.5
11,73,0,4,55.5
11,74,1,5,48
11,75,0,1,45.5
11,76,0,2,45
11,77,0,3,50
11,78,0,4,47
11,79,0,5,50
11,80,1,6,41.5
11,81,0,1,50
11,82,0,2,43.5
11,83,0,3,36.5
11,84,0,4,46.5
11,85,0,5,49.5
11,86,1,6,50
11,87,0,1,47.5
11,88,0,2,43
11,89,0,3,48.5
11,90,0,4,52
11,91,0,5,58.5
11,92,0,6,54.5
11,93,1,7,54
11,94,0,1,47
11,95,0,2,45.5
11,96,1,3,42.5
11,97,0,1,50.5
11,98,0,2,43.5
11,99,0,3,44.5
11,100,0,4,46
12,1,0,2,45
12,2,0,3,49
12,3,0,4,54
12,4,0,5,47
12,5,0,6,56
12,6,1,7,52.5
12,7,0,1,55
12,8,0,2,50.5
12,9,0,3,52
12,10,0,4,42
12,11,1,5,31.5
12,12,0,1,39.5
12,13,0,2,40.5
12,14,0,3,39.5
12,15,0,4,42
12,16,0,5,41.5
12,17,0,6,40
12,18,1,7,35
12,19,0,1,40
12,20,0,2,44
12,21,0,3,45
12,22,0,4,50.5
12,23,0,5,46.5
12,24,0,6,52
12,25,1,7,50
12,26,0,1,48
12,27,0,2,54
12,28,0,3,56
12,29,0,4,51.5
12,30,1,5,44.5
12,31,1,1,41.5
12,32,0,1,54
12,33,0,2,50.5
12,34,0,3,46
12,35,1,4,46
12,36,0,1,38
12,37,0,2,39
12,38,0,3,39
12,39,0,4,35
12,40,1,5,36.5
12,41,0,1,39.5
12,42,0,2,46.5
12,43,0,3,47.5
12,44,1,4,47.5
12,45,0,1,52.5
12,46,0,2,50
12,47,0,3,48
12,48,1,4,50.5
12,49,0,1,52
12,50,0,2,46.5
12,51,0,3,47.5
12,52,1,4,40
12,53,1,1,43
12,54,0,1,47
12,55,0,2,44
12,56,0,3,49
12,57,0,4,57.5
12,58,0,5,51.5
12,59,1,6,46.5
12,60,0,1,50
12,61,0,2,44
12,62,0,3,53
12,63,1,4,50.5
12,64,0,1,48
12,65,0,2,51
12,66,0,3,50.5
12,67,1,4,51
12,68,0,1,62.5
12,69,0,2,58
12,70,0,3,62
12,71,0,4,53
12,72,0,5,52.5
12,73,0,6,55.5
12,74,1,7,48
12,75,0,1,45.5
12,76,0,2,45
12,77,0,3,50
12,78,0,4,47
12,79,0,5,50
12,80,1,6,41.5
12,81,0,1,50
12,82,0,2,43.5
12,83,1,3,36.5
12,84,0,1,46.5
12,85,0,2,49.5
12,86,0,3,50
12,87,0,4,47.5
12,88,0,5,43
12,89,1,6,48.5
12,90,0,1,52
12,91,0,2,58.5
12,92,0,3,54.5
12,93,1,4,54
12,94,0,1,47
12,95,0,2,45.5
12,96,0,3,42.5
12,97,1,4,50.5
12,98,0,1,43.5
12,99,0,2,44.5
12,100,0,3,46
13,1,0,3,45
13,2,0,4,49
13,3,1,5,54
13,4,0,1,47
13,5,0,2,56
13,6,0,3,52.5
13,7,0,4,55
13,8,0,5,50.5
13,9,1,6,52
13,10,0,1,42
13,11,0,2,31.5
13,12,1,3,39.5
13,13,0,1,40.5
13,14,0,2,39.5
13,15,0,3,42
13,16,0,4,41.5
13,17,0,5,40
13,18,1,6,35
13,19,0,1,40
13,20,0,2,44
13,21,0,3,45
13,22,1,4,50.5
13,23,0,1,46.5
13,24,0,2,52
13,25,0,3,50
13,26,0,4,48
13,27,0,5,54
13,28,1,6,56
13,29,0,1,51.5
13,30,0,2,44.5
13,31,0,3,41.5
13,32,0,4,54
13,33,0,5,50.5
13,34,0,6,46
13,35,0,7,46
13,36,1,7,38
13,37,0,1,39
13,38,0,2,39
13,39,0,3,35
13,40,0,4,36.5
13,41,0,5,39.5
13,42,1,6,46.5
13,43,0,1,47.5
13,44,0,2,47.5
13,45,0,3,52.5
13,46,0,4,50
13,47,1,5,48
13,48,0,1,50.5
13,49,0,2,52
13,50,0,3,46.5
13,51,0,4,47.5
13,52,1,5,40
13,53,0,1,43
13,54,0,2,47
13,55,0,3,44
13,56,0,4,49
13,57,0,5,57.5
13,58,0,6,51.5
13,59,1,7,46.5
13,60,0,1,50
13,61,0,2,44
13,62,0,3,53
13,63,0,4,50.5
13,64,0,5,48
13,65,1,6,51
13,66,0,1,50.5
13,67,0,2,51
13,68,0,3,62.5
13,69,0,4,58
13,70,0,5,62
13,71,0,6,53
13,72,1,7,52.5
13,73,0,1,55.5
13,74,0,2,48
13,75,0,3,45.5
13,76,0,4,45
13,77,0,5,50
13,78,1,6,47
13,79,0,1,50
13,80,0,2,41.5
13,81,0,3,50
13,82,1,4,43.5
13,83,0,1,36.5
